,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
8,Federico Peluso ,35," D(CL),M(L)",6.76,Sassuolo,187,82,9(1),875,1,-,3,-,0.1,86.6,1.9,1,1,-,0.1,-,0.2,1,-,0.1,0.2,1.4,1.6,0.5,0.7,4.9,0.2,0.2,-,-,-,55.3,86.6,0.2,2.7,-
9,Filip Djuricic ,27," AM(CLR),FW",6.48,Sassuolo,176,69,14(5),1088,2,-,2,1,0.7,83.9,0.5,1,2,-,0.7,1,0.8,1.6,0.3,1.7,1.1,0.8,0.4,1.1,-,0.2,0.9,0.1,-,-,1,24.3,83.9,0.4,0.8,-
10,Francesco Magnanelli ,34, DMC,6.52,Sassuolo,181,79,13(4),1122,-,-,2,-,0.3,88.1,0.6,1,-,-,0.3,0.1,0.3,1.3,-,0.2,0.2,1.9,1,1.5,0.1,1.4,0.8,0.2,-,-,0.1,44.9,88.1,-,2.8,-
11,Giangiacomo Magnani ,23, D(C),6.49,Sassuolo,190,0,15(2),1379,-,1,2,-,0.1,86.1,1.5,-,-,1,0.1,0.2,-,0.6,-,0.2,0.2,0.6,0.9,1.1,0.7,4.9,0.5,0.6,-,1,0.2,49.1,86.1,-,2.5,-
12,Gianluca Pegolo ,38, GK,6.72,Sassuolo,184,76,1(1),112,-,-,1,-,-,68.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.5,68.6,-,5,-
13,Gianmarco Ferrari ,27, D(C),6.67,Sassuolo,189,82,23,2070,3,-,6,-,0.7,86.5,1.8,1,3,-,0.7,0.2,0.1,0.7,-,0.2,0.4,1.4,1,1.1,0.4,2.8,0.2,0.8,-,-,0.2,60.2,86.5,-,3,-
14,Jens Odgaard ,20, Forward,6.0,Sassuolo,188,82,0(1),16,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,2.0,100.0,-,-,-
15,Jeremie Boga ,22," AM(CLR),FW",6.67,Sassuolo,172,68,7(9),788,2,1,-,-,0.9,85.8,-,-,2,1,0.9,0.6,2.9,1.2,0.2,0.8,1.2,0.3,-,0.4,-,0.1,0.4,-,-,1,0.6,16.3,85.8,-,0.1,-
16,Kevin-Prince Boateng ,32," M(CLR),FW",6.71,Sassuolo,185,86,11(2),942,4,1,1,-,2.2,80.7,1.6,-,4,1,2.2,1.2,-,2.1,0.6,1.1,2,0.4,0.2,1.9,-,0.9,0.2,0.2,-,1,1.2,23.5,80.7,-,0.8,0.2
17,Khouma Babacar ,26, FW,6.51,Sassuolo,191,85,14(10),1250,7,1,-,-,2.1,83.9,1,1,7,1,2.1,0.4,0.2,0.7,0.4,0.9,2.1,0.2,0.1,1.1,-,0.9,0.2,0.1,-,1,0.4,9.6,83.9,-,0.3,-
18,Manuel Locatelli ,21, M(C),6.81,Sassuolo,185,75,16(5),1434,1,3,3,-,1.1,88.4,1,1,1,3,1.1,1.3,0.7,1,-,1,1.2,1.5,1.1,1.3,-,1.1,0.5,0.1,-,3,1.3,45.3,88.4,0.3,1.9,0.2
19,Marcello Trotta ,26," AM(R),FW",6.0,Sassuolo,188,85,0(1),5,-,-,-,-,-,66.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3.0,66.7,-,-,-
20,Marlon Santos ,23, D(C),6.64,Sassuolo,182,80,18,1511,1,-,3,1,0.3,93.6,1.2,1,1,-,0.3,0.2,0.2,0.4,-,0.1,0.4,1.6,1.4,1.1,1.2,2,0.3,0.7,-,-,0.2,57.7,93.6,0.1,3.3,0.1
21,Mauricio Lemos ,23, D(C),5.95,Sassuolo,187,85,2,136,-,-,-,-,-,95.1,0.5,-,-,-,-,-,-,0.5,-,0.5,0.5,0.5,1,-,-,3.5,0.5,0.5,-,-,-,20.5,95.1,-,1.5,-
22,Mehdi Bourabia ,27, M(C),6.67,Sassuolo,183,73,14(10),1463,-,-,6,-,1.1,85.4,1.5,2,-,-,1.1,1,1.1,0.7,-,1.3,1.2,1.5,1.1,1.3,-,1,0.9,0.1,-,-,1,33.0,85.4,0.3,0.9,-
23,Merih Demiral ,21, D(C),6.79,Sassuolo,192,0,5,450,-,-,1,-,0.4,86.5,3.4,-,-,-,0.4,-,0.4,0.2,-,-,0.2,2,1.4,2.2,0.4,4.2,0.4,0.6,-,-,-,53.2,86.5,-,2.4,-
24,Pol Lirola ,21," D(R),M(R)",6.74,Sassuolo,183,70,23(3),2166,1,4,2,-,0.5,78.8,0.5,-,1,4,0.5,1.2,1.2,0.3,0.1,0.8,0.8,1,0.9,0.4,0.3,2.1,0.3,0.2,1,4,1.2,39.4,78.8,0.8,1.2,-
25,Rogerio ,21," D(L),M(L)",6.55,Sassuolo,178,70,23(2),2090,-,1,8,1,0.4,82.7,0.8,-,-,1,0.4,0.7,0.6,0.8,-,0.5,1.1,1.5,0.8,1,0.2,2.6,0.8,0.2,-,1,0.7,42.9,82.7,0.6,2,-
26,Stefano Sensi ,23, M(C),6.83,Sassuolo,168,62,18(4),1544,1,2,7,-,1.1,89.9,0.4,1,1,2,1.1,1.7,0.6,2.1,-,1.1,1.1,1.4,1.3,1,-,0.5,0.8,0.3,-,2,1.7,51.0,89.9,1,2.9,0.1
0,Alberto Grassi ,24, M(C),6.67,Parma Calcio 1913,183,75,5(1),424,-,-,-,-,0.8,80.2,1,-,-,-,0.8,0.3,0.8,1.8,-,0.5,1.2,3,1.2,1.5,-,1,1.2,0.2,-,-,0.3,17.7,80.2,-,1.2,-
1,Alessandro Bastoni ,19, D(C),6.55,Parma Calcio 1913,190,75,14(3),1303,-,-,2,-,0.1,82.1,1.8,1,-,-,0.1,0.1,0.2,0.6,-,0.1,0.1,1.2,0.9,0.8,0.5,4.1,0.4,0.8,-,-,0.1,27.3,82.1,-,2.9,0.1
2,Alessandro Deiola ,23, M(C),6.4,Parma Calcio 1913,189,85,5(5),542,-,1,3,-,0.7,75.1,0.6,-,-,1,0.7,0.3,0.2,0.5,-,0.4,0.7,1.2,1.1,0.9,-,0.7,0.6,0.4,-,1,0.3,17.3,75.1,-,0.8,-
3,Alessio Da Cruz ,22, Midfielder,6.11,Parma Calcio 1913,184,74,1(2),142,-,-,-,-,0.3,80.8,0.7,-,-,-,0.3,-,0.7,1.3,-,2,1.7,0.7,-,1,-,-,0.3,-,-,-,-,8.7,80.8,-,-,-
4,Amato Ciciretti ,25, AM(R),6.2,Parma Calcio 1913,170,65,1(5),136,-,-,-,-,0.2,72.6,0.2,-,-,-,0.2,0.3,1.2,0.7,-,0.3,0.5,0.2,0.5,0.2,-,-,-,-,-,-,0.3,10.3,72.6,0.2,0.8,-
5,Antonino Barillà ,31, M(C),6.59,Parma Calcio 1913,180,76,23(1),2037,2,2,9,-,0.6,72.6,0.7,1,2,2,0.6,0.8,0.5,1,0.1,1,1.3,1.9,1.3,2.1,-,1.3,1.3,0.4,-,2,0.8,26.0,72.6,0.3,1.1,-
6,Antonio Di Gaudio ,29, AM(L),6.15,Parma Calcio 1913,170,63,9(3),704,-,1,-,-,1.1,60.4,0.2,-,-,1,1.1,0.3,0.5,1.2,0.4,0.7,2.4,0.2,0.3,0.3,-,0.3,0.3,0.1,-,1,0.3,9.3,60.4,-,-,-
7,Bruno Alves ,37, D(C),6.73,Parma Calcio 1913,189,83,28,2502,3,1,7,-,0.5,78.6,3.2,1,3,1,0.5,0.3,0.1,0.3,-,-,0.1,0.5,0.6,0.8,0.1,6.5,0.1,0.9,1,1,0.3,36.0,78.6,0.1,4.8,-
8,Fabio Ceravolo ,32, FW,6.14,Parma Calcio 1913,180,73,5(12),612,1,-,-,-,0.7,69.5,0.8,-,1,-,0.7,0.4,0.4,0.5,0.8,1.1,1.5,0.2,0.1,0.4,-,0.4,0.2,0.1,-,-,0.4,8.3,69.5,0.1,0.1,-
9,Federico Dimarco ,21, D(L),6.9,Parma Calcio 1913,174,75,4(2),366,1,-,1,-,0.8,77.8,0.5,-,1,-,0.8,0.8,0.7,0.2,-,1.2,1.2,1,1.2,0.5,0.2,1.3,0.3,0.5,-,-,0.8,25.5,77.8,0.7,2,-
10,Francisco Sierralta ,21, Defender,6.24,Parma Calcio 1913,190,83,0(3),61,-,-,-,-,0.3,56.0,0.3,-,-,-,0.3,-,-,-,-,0.3,0.3,1.3,0.7,0.7,-,1.3,-,-,-,-,-,8.3,56.0,-,0.7,-
11,Gervinho ,31," M(LR),FW",6.93,Parma Calcio 1913,179,66,21(2),1762,10,-,1,-,1.4,80.3,-,3,10,-,1.4,0.7,2.1,1.1,0.5,1.7,2.7,0.7,0.4,0.4,-,-,0.2,-,-,-,0.7,16.3,80.3,-,0.2,0.1
12,Gianni Munari ,35, M(C),6.07,Parma Calcio 1913,190,84,0(1),2,-,-,-,-,-,100.0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2.0,100.0,-,-,-
13,Jonathan Biabiany ,30," M(LR),FW",6.44,Parma Calcio 1913,177,73,12(6),1069,-,-,4,-,0.2,72.9,1,-,-,-,0.2,0.5,1.1,0.9,0.2,1.2,1.6,1.7,0.6,1.2,-,0.6,0.4,0.1,-,-,0.5,16.2,72.9,0.2,0.7,0.1
14,Juraj Kucka ,32, M(CL),7.2,Parma Calcio 1913,186,86,9(1),816,2,3,2,-,1.3,69.9,3,1,2,3,1.3,1,1,1.4,-,1.4,1,3.1,1.2,1.9,-,2.4,2,0.4,-,3,1,29.6,69.9,0.5,1,-
15,Leo Stulac ,24, M(C),6.61,Parma Calcio 1913,175,70,15(6),1310,-,2,3,1,0.8,86.5,0.6,1,-,2,0.8,0.8,0.3,1.1,-,0.8,0.7,0.9,1.5,0.5,-,1.4,0.6,0.5,-,2,0.8,27.2,86.5,0.6,2.2,-
16,Luca Rigoni ,34, M(CR),6.61,Parma Calcio 1913,185,78,17(2),1518,2,1,4,-,0.8,79.7,0.8,-,2,1,0.8,0.5,0.3,0.7,-,0.8,0.6,2.1,0.8,0.9,-,1.7,0.7,0.1,-,1,0.5,25.4,79.7,0.1,1.4,-
17,Luca Siligardi ,31," AM(LR),FW",6.6,Parma Calcio 1913,180,72,16(6),1330,1,2,2,-,1.4,69.4,0.5,1,1,2,1.4,0.6,1,1,0.1,1.6,1.5,1.1,0.6,0.5,-,0.4,0.6,0.1,-,2,0.6,16.2,69.4,0.7,0.7,-
18,Luigi Sepe ,27, GK,6.87,Parma Calcio 1913,191,90,29,2610,-,-,1,-,-,57.9,0.4,3,-,-,-,-,-,0.1,-,-,0.1,-,0.1,-,-,0.8,-,-,-,-,-,28.7,57.9,-,8.7,-
19,Marcello Gazzola ,34," D(R),M(R)",6.17,Parma Calcio 1913,184,79,1(10),238,-,-,-,-,-,68.1,0.6,-,-,-,-,0.2,0.1,0.2,-,-,-,0.3,-,0.2,-,0.5,0.3,0.2,-,-,0.2,6.3,68.1,0.2,0.1,-
20,Massimo Gobbi ,38," D(L),M(L)",6.28,Parma Calcio 1913,183,79,12(2),1070,-,1,2,-,0.2,75.1,0.6,-,-,1,0.2,0.6,0.1,0.4,-,0.1,0.4,1.1,0.6,1.4,0.1,2.6,1,0.4,-,1,0.6,30.7,75.1,0.4,1.7,-
21,Matteo Scozzarella ,30, M(C),6.46,Parma Calcio 1913,170,65,11(3),943,-,2,6,-,0.5,83.7,0.1,-,-,2,0.5,0.9,0.2,0.7,-,0.3,0.6,0.6,1,1.1,-,1.3,1.3,0.4,-,2,0.9,30.2,83.7,0.8,3.1,0.1
22,Mattia Sprocati ,25, Midfielder,6.24,Parma Calcio 1913,178,70,0(7),115,1,-,-,-,0.4,81.0,0.1,-,1,-,0.4,0.3,0.1,0.7,-,0.1,0.4,0.4,-,0.3,-,0.1,-,-,-,-,0.3,8.3,81.0,0.1,0.3,-
23,Nicolás Schiappacasse ,20, Forward,5.99,Parma Calcio 1913,180,73,0(2),28,-,-,-,-,0.5,66.7,-,-,-,-,0.5,-,1,0.5,-,-,0.5,-,-,-,-,-,-,-,-,-,-,1.5,66.7,-,-,-
24,Pepín ,22, Midfielder,6.28,Parma Calcio 1913,184,74,1,53,-,-,-,-,1,62.5,-,-,-,-,1,-,2,-,-,-,2,2,2,1,-,-,2,-,-,-,-,16.0,62.5,-,1,-
25,Riccardo Gagliolo ,28, D(CL),6.87,Parma Calcio 1913,180,75,28,2506,-,1,6,-,0.6,77.1,1.3,1,-,1,0.6,0.5,0.1,1.1,-,0.2,0.7,2,2,1,0.2,5.9,1,0.9,1,1,0.5,35.8,77.1,0.1,2.3,-
26,Roberto Inglese ,27, FW,6.78,Parma Calcio 1913,187,85,23(1),1939,8,1,3,-,1.9,67.1,2.5,1,8,1,1.9,0.6,0.8,1.4,1.3,2.2,3.5,0.8,0.3,2.3,-,1.1,0.5,0.1,-,1,0.6,15.6,67.1,-,0.3,-
27,Simone Iacoponi ,31, D(R),6.52,Parma Calcio 1913,180,73,29,2551,-,-,4,-,0.3,72.4,1.4,-,-,-,0.3,0.3,0.4,0.8,-,0.4,1,1.6,1,0.9,0.3,3.2,0.6,0.9,-,-,0.3,30.4,72.4,-,2.1,-
0,Alberto Paloschi ,29, FW,6.17,SPAL 2013,182,82,7(12),731,2,-,2,-,0.5,74.8,0.3,-,2,-,0.5,0.2,0.1,0.5,0.4,0.6,1.2,0.6,0.1,0.9,-,-,0.1,-,-,-,0.2,7.1,74.8,0.1,0.1,-
1,Alessandro Murgia ,22, M(C),6.29,SPAL 2013,185,78,3(4),371,-,-,-,-,0.3,86.8,0.1,-,-,-,0.3,0.4,-,1.6,0.1,0.7,0.7,1,1,1,-,0.7,1.7,0.1,-,-,0.4,22.7,86.8,0.1,0.7,-
2,Alfred Gomis ,25, GK,6.54,SPAL 2013,196,80,18(1),1632,-,-,-,-,-,67.3,0.3,1,-,-,-,-,-,0.2,-,-,0.1,-,0.1,0.1,-,0.7,0.1,-,-,-,-,28.5,67.3,-,6.9,-
3,Andrea Petagna ,23, FW,6.76,SPAL 2013,190,85,27,2311,11,-,6,-,2.6,78.5,1.2,1,11,-,2.6,0.6,0.9,1.3,0.2,2.4,2.3,0.5,0.1,1.4,-,0.4,0.2,0.3,-,-,0.6,20,78.5,0.2,1.1,-
4,Emiliano Viviano ,33, GK,6.57,SPAL 2013,195,90,9,810,-,-,-,-,-,62.8,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,32.2,62.8,-,8.4,-
5,Everton Luiz ,30, DMC,5.99,SPAL 2013,173,70,2(8),313,-,-,5,-,0.2,86.2,0.1,-,-,-,0.2,-,0.3,0.5,-,0.4,1.1,1.1,0.3,0.9,-,0.7,0.4,0.1,-,-,-,13,86.2,-,0.1,-
6,Felipe ,34, D(CL),6.52,SPAL 2013,188,75,24(1),2061,-,2,11,-,0.4,87,1.7,-,-,2,0.4,0.3,0.2,0.5,-,0.1,0.3,1.3,0.6,1.1,0.4,2.8,0.6,0.7,-,2,0.3,42.4,87,0.1,2.6,-
7,Filippo Costa ,23, M(L),6.7,SPAL 2013,175,70,5(2),445,-,-,-,-,0.3,81.2,0.9,-,-,-,0.3,0.9,1,0.4,-,0.4,0.9,2,1.1,0.3,0.4,3.1,0.4,0.3,-,-,0.9,19.7,81.2,0.4,0.7,-
8,Francesco Vicari ,24, D(C),6.77,SPAL 2013,190,80,18(2),1639,1,-,3,-,0.4,88.9,1.8,1,1,-,0.4,0.1,-,0.5,-,0.1,-,1.1,1.4,0.6,1.3,5.4,0.3,0.9,-,-,0.1,36.1,88.9,-,2.3,-
9,Gabriele Moncini ,22, Forward,6.3,SPAL 2013,180,75,0(1),7,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
10,Jasmin Kurtic ,30, M(CL),6.99,SPAL 2013,186,88,22(1),1958,5,3,8,-,2.3,85.9,2.2,1,5,3,2.3,1.1,0.8,2,-,0.7,1.2,1.1,0.7,1.3,-,1.6,0.7,0.1,-,3,1.1,40.7,85.9,1.3,1.6,-
11,Johan Djourou ,32, D(C),6.51,SPAL 2013,191,87,3(2),279,-,-,-,-,0.2,90.3,1.6,-,-,-,0.2,-,0.4,-,-,0.2,-,0.6,0.8,0.8,0.4,3.8,-,0.6,-,-,-,22.6,90.3,-,1.2,-
12,Kevin Bonifazi ,22, D(C),6.81,SPAL 2013,180,70,18(1),1583,1,-,1,-,0.4,88.3,1.7,1,1,-,0.4,0.3,0.9,0.7,-,0.7,0.9,1.7,1.2,0.8,0.7,2.8,0.7,0.7,-,-,0.3,45.5,88.3,0.1,2.2,-
13,Lorenco Simic ,22, D(C),6.35,SPAL 2013,195,89,2(5),233,-,-,-,-,0.7,81.8,1.6,-,-,-,0.7,0.1,-,0.1,-,0.3,0.3,0.9,1.7,0.4,0.3,2.4,0.3,0.1,-,-,0.1,21.1,81.8,-,1,-
14,Lorenzo Dickmann ,22, Defender,6.07,SPAL 2013,177,70,1(4),103,-,-,-,-,0.2,68.8,0.4,-,-,-,0.2,-,-,0.2,-,0.2,0.4,0.6,0.2,0.4,-,0.6,0.4,-,-,-,-,6.4,68.8,-,-,-
15,Manuel Lazzari ,25, M(R),6.93,SPAL 2013,174,67,25,2126,-,7,4,-,1,83.6,0.4,2,-,7,1,1.4,2,1.8,-,1.2,1.7,0.9,0.5,0.8,0.2,1.3,0.3,0.2,-,7,1.4,31.6,83.6,1.7,0.5,-
16,Marko Jankovic ,23, AM(R),6.2,SPAL 2013,173,0,0(1),11,-,-,-,-,-,100,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,5,100,-,-,-
17,Mattia Valoti ,25, AM(CL),6.42,SPAL 2013,181,62,11(9),997,1,-,6,-,0.8,80.6,1,-,1,-,0.8,0.4,0.4,1.1,-,0.8,0.8,1.4,1,1.2,0.1,0.4,0.6,-,-,-,0.4,20.9,80.6,0.2,0.7,-
18,Mirco Antenucci ,34," AM(C),FW",6.4,SPAL 2013,178,68,20(7),1859,3,-,-,-,1.6,78,1.3,-,3,-,1.6,0.8,0.6,1.2,0.5,1.5,2.4,0.3,0.1,0.9,-,0.2,0.2,-,-,-,0.8,16.5,78,0.1,0.3,-
19,Mirko Valdifiori ,32, DMC,6.52,SPAL 2013,185,70,8(6),647,-,1,3,-,0.5,85.8,0.1,-,-,1,0.5,1.6,0.1,0.6,-,0.2,0.4,1.3,0.4,0.9,-,0.5,0.4,0.1,-,1,1.6,35.8,85.8,1,1.8,0.1
20,Mohamed Fares ,23," D(L),M(L)",6.74,SPAL 2013,183,75,24(3),2227,2,-,8,-,1.6,80.7,1.1,2,2,-,1.6,1.1,1,1,-,1.2,1.5,1.7,1.5,1.4,0.2,1.6,0.9,0.1,-,-,1.1,32.2,80.7,0.8,0.7,-
21,Pasquale Schiattarella ,31," DMC,M(R)",6.62,SPAL 2013,178,68,18(4),1590,-,2,10,-,0.5,87.5,0.8,-,-,2,0.5,1.5,0.4,2,-,0.8,0.9,1.6,1,1.3,-,1,0.9,0.2,-,2,1.5,52.2,87.5,0.8,2,-
22,Sergio Floccari ,37, FW,6.12,SPAL 2013,180,80,4(8),418,-,-,2,-,0.5,80.8,0.9,-,-,-,0.5,-,0.2,1,0.2,0.8,1.8,0.4,-,0.6,-,0.2,0.2,-,-,-,-,8.3,80.8,0.1,-,-
23,Simone Missiroli ,32, AM(C),6.72,SPAL 2013,191,77,26(1),2201,-,-,7,-,0.4,82.4,2.3,1,-,-,0.4,0.9,0.5,1.6,-,0.7,0.9,1.6,1.3,0.9,0.1,1,0.7,0.2,-,-,0.9,45.3,82.4,0.2,1.5,-
24,Thiago Cionek ,32, D(CR),6.86,SPAL 2013,184,79,22(2),1932,-,2,9,2,0.5,79.6,2.1,1,-,2,0.5,0.5,0.2,1.2,-,0.4,0.7,2.6,1.9,1.8,0.5,4.3,0.8,0.8,-,2,0.5,47.9,79.6,0.3,2.8,-
25,Vanja Milinkovic-Savic ,22, Goalkeeper,6.56,SPAL 2013,202,92,2,165,-,-,-,1,-,53.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,29,53.4,-,5,-
26,Vasco Regini ,28, D(CL),6.0,SPAL 2013,185,79,0(1),13,-,-,-,-,-,50,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2,-,-,-,-,2,50,-,-,-
0,Andrea Seculin ,28, GK,6.01,Chievo,190,78,1(1),91,-,-,-,-,-,61.9,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,10.5,61.9,-,4,-
1,Assane Dioussé ,21, DMC,6.29,Chievo,175,68,5(2),487,-,-,2,-,0.4,80.4,0.4,-,-,-,0.4,0.3,0.7,0.9,0.1,0.3,0.7,1.7,1.7,1.3,-,1,0.9,-,-,-,0.3,38.7,80.4,0.1,2.3,-
2,Bostjan Cesar ,36, D(C),6.55,Chievo,191,89,3(2),347,-,-,2,-,0.6,83.6,2.4,-,-,-,0.6,-,0.2,0.4,-,-,0.2,1.2,1,1.6,-,5,0.4,-,-,-,-,29.2,83.6,-,2,-
3,Emanuel Vignato ,18, Midfielder,5.85,Chievo,175,70,0(1),29,-,-,-,-,-,100.0,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,14.0,100.0,-,-,-
4,Emanuele Giaccherini ,33, M(CLR),6.55,Chievo,167,60,20(3),1807,3,1,8,-,1.3,79.2,0.5,1,3,1,1.3,1.7,1.1,1.9,0.2,2,2.1,0.6,0.6,0.7,-,0.3,0.9,-,1,1,1.7,38.3,79.2,1.3,2,-
5,Ezequiel Schelotto ,29," D(R),M(LR)",6.43,Chievo,187,77,2(2),143,-,-,-,-,0.5,65.3,1.3,-,-,-,0.5,0.5,-,0.3,-,-,0.3,0.8,0.5,0.3,-,1.8,0.3,-,-,-,0.5,18.0,65.3,0.3,1,-
6,Fabio Depaoli ,21," D(R),DMC,M(R)",6.49,Chievo,178,74,19(6),1822,-,3,6,2,0.4,72.5,1.1,-,-,3,0.4,1,0.4,0.7,-,0.5,1.2,2.4,1.1,1.4,0.2,2.2,0.9,0.4,-,3,1,25.7,72.5,0.8,1.6,-
7,Fabrizio Cacciatore ,32, D(LR),6.49,Chievo,182,81,5(2),497,-,-,1,-,0.1,77.8,1.4,-,-,-,0.1,1.3,0.1,0.6,-,-,0.6,1.1,0.7,0.4,0.3,2,0.7,0.3,-,-,1.3,29.0,77.8,1.1,1.6,-
8,Federico Barba ,25, D(CL),6.62,Chievo,185,77,23(1),1999,-,-,4,1,0.2,80.2,1.9,-,-,-,0.2,0.4,0.1,0.4,-,0.1,0.3,1,2.3,1.2,0.2,4.8,0.5,0.3,-,-,0.4,38.2,80.2,0.1,3.2,-
9,Filip Djordjevic ,31, FW,6.26,Chievo,186,80,6(7),632,1,1,1,-,1.1,63.6,2,-,1,1,1.1,0.4,0.2,0.9,0.5,0.4,1.6,0.8,0.2,1,-,0.6,0.7,0.1,-,1,0.4,13.5,63.6,0.2,0.3,-
10,Ivan Radovanovic ,30, DMC,6.54,Chievo,186,80,19,1707,-,-,6,-,1.6,85.7,1.4,-,-,-,1.6,0.5,0.4,0.7,0.1,0.4,0.6,1.4,1.3,1.1,0.1,1.9,1.1,0.4,-,-,0.5,53.8,85.7,-,7.8,-
11,Joel Obi ,27, M(CR),6.67,Chievo,176,71,9(2),666,1,-,1,-,0.9,84.9,1.1,-,1,-,0.9,0.5,0.5,0.4,0.3,0.2,0.9,2.1,1.3,1.4,-,1.2,0.9,0.1,-,-,0.5,25.8,84.9,0.1,0.4,-
12,Luca Rossettini ,33, D(CR),6.57,Chievo,187,82,20(1),1822,-,-,5,-,0.2,85.2,1.9,-,-,-,0.2,-,-,0.4,-,0.2,-,1.2,1.7,0.7,0.6,5.4,0.2,0.7,-,-,-,38.2,85.2,-,3.4,-
13,Lucas Piazon ,25, AM(CLR),6.12,Chievo,182,73,0(2),32,-,-,-,-,0.5,84.6,-,-,-,-,0.5,-,0.5,-,-,-,0.5,-,0.5,-,-,-,0.5,-,-,-,-,6.5,84.6,-,0.5,-
14,Manuel Pucciarelli ,27, FW,5.94,Chievo,174,63,1(5),118,-,-,-,-,0.2,62.2,-,-,-,-,0.2,-,-,-,-,0.8,0.3,0.2,0.2,0.5,-,0.2,0.3,-,-,-,-,6.2,62.2,-,-,-
15,Marco Andreolli ,32, D(C),6.3,Chievo,187,81,3(1),286,-,-,1,-,-,73.3,3,-,-,-,-,-,-,0.3,-,0.3,-,1.3,0.8,0.3,0.5,3.8,0.5,0.3,-,-,-,29.0,73.3,-,2.5,-
16,Mariusz Stepinski ,23, FW,6.42,Chievo,183,72,21(7),1963,6,1,3,-,1.9,78.3,1.4,-,6,1,1.9,0.8,0.3,1.6,0.6,1.9,2.8,0.5,0.2,1.8,-,0.5,0.4,0.1,-,1,0.8,15.1,78.3,0.1,0.2,-
17,Mattia Bani ,25, D(C),6.79,Chievo,188,80,23(1),2083,-,-,7,-,0.4,81.1,3,2,-,-,0.4,0.2,-,1.4,0.1,0.3,0.4,2.3,2,1.1,0.4,5,0.5,1,1,-,0.2,42.7,81.1,-,4.3,-
18,Mehdi Leris ,20, M(C),6.63,Chievo,186,78,12(4),1092,-,2,3,-,1.5,77.5,1.7,-,-,2,1.5,1,0.8,0.5,-,1.5,2.5,2.6,1.3,1.8,-,0.5,1.3,0.1,-,2,1,28.9,77.5,0.6,1.5,-
19,Nenad Tomovic ,31, D(CLR),6.34,Chievo,184,79,8(1),660,1,-,1,-,0.4,82.0,1.8,-,1,-,0.4,0.2,0.1,0.8,-,0.1,0.6,0.9,1.2,0.9,-,3,0.2,0.1,-,-,0.2,32.8,82.0,0.1,1.2,-
20,Nicola Rigoni ,28, DMC,6.35,Chievo,185,84,16(1),1364,-,1,5,-,1.1,79.3,2.1,-,-,1,1.1,0.4,0.1,0.8,0.1,0.2,0.5,1.6,0.8,2.1,-,1.5,1.1,0.2,-,1,0.4,35.9,79.3,-,1.9,-
21,Nicolas Frey ,35, D(CLR),5.96,Chievo,184,78,1(2),47,-,-,-,-,-,60.9,-,-,-,-,-,-,-,-,-,-,-,0.7,0.3,-,-,0.7,0.7,-,-,-,-,7.7,60.9,-,0.7,-
22,Pawel Jaroszynski ,24," D(L),M(L)",6.55,Chievo,184,77,13(3),1158,-,-,2,-,0.4,73.1,1.3,-,-,-,0.4,0.8,0.6,0.8,-,0.3,1.1,1.8,1.3,1.1,0.1,1.8,0.8,0.3,-,-,0.8,34.4,73.1,0.8,2.1,0.1
23,Perparim Hetemaj ,32, M(CL),6.39,Chievo,175,76,19(4),1660,1,-,7,-,0.3,81.3,0.8,-,1,-,0.3,0.5,0.7,2.5,-,1.2,1.5,1.8,1,1.9,-,0.4,1.6,-,-,-,0.5,30.2,81.3,0.4,1.4,-
24,Riccardo Meggiorini ,33, FW,6.59,Chievo,182,76,13(6),1116,2,1,5,-,1.3,63.9,3.7,-,2,1,1.3,0.5,0.3,2.2,0.5,0.8,1.4,0.9,0.2,1,-,0.7,0.3,0.1,-,1,0.5,14.7,63.9,0.1,0.2,-
25,Sergio Pellissier ,39, FW,6.48,Chievo,175,75,10(4),747,4,1,1,-,1.7,72.8,1.4,-,4,1,1.7,0.5,0.4,1.2,0.6,1.1,1.6,0.3,0.1,0.6,-,0.3,0.1,0.1,-,1,0.5,9.7,72.8,0.1,0.1,-
